fold,grid_km,roc_auc,pr_auc,best_f1,best_t
1,20.0,0.5757386600083229,0.1916777907429119,0.2961038961038961,0.6900000000000001
2,20.0,0.538182918395574,0.22686139351105544,0.34032634032634035,0.55
3,20.0,0.6657319528329019,0.2754729720409792,0.4168618266978923,0.63
4,20.0,0.5907980003703017,0.24347087410617008,0.3453815261044177,0.76
5,20.0,0.5798915905898876,0.19284817468566462,0.30423940149625933,0.54
