fold,roc_auc,pr_auc,best_f1,best_t
1,0.614133648728563,0.18238170151594058,0.32748538011695905,0.5
2,0.5642461964038727,0.2360308158463173,0.3619744058500914,0.39
3,0.7203857492090884,0.31636141757105574,0.4659090909090909,0.5
4,0.6295963710423995,0.24696273512482164,0.36626506024096384,0.45
5,0.6077949438202247,0.18912700179281502,0.29949238578680204,0.46
