grid_km,fold,model,feature,base_roc,base_pr,roc_drop,pr_drop
20.0,1,rf_balanced,elev_m,0.775478020894934,0.3485134964954818,0.2065181680793745,0.11238084343200619
20.0,1,rf_balanced,slope_deg,0.775478020894934,0.3485134964954818,0.0021902446503273554,0.00636551330142221
20.0,1,rf_balanced,aspect_sin,0.775478020894934,0.3485134964954818,0.0005147074928270046,0.002914935102199867
20.0,1,rf_balanced,aspect_cos,0.775478020894934,0.3485134964954818,0.017620518211884373,0.02679948876972027
20.0,1,rf_balanced,twi,0.775478020894934,0.3485134964954818,-0.010359857196048705,0.01707851059087573
20.0,1,rf_balanced,log_spi,0.775478020894934,0.3485134964954818,0.005114221258514573,0.038665249193609696
20.0,1,rf_balanced,log_sca,0.775478020894934,0.3485134964954818,-0.008388637010754096,0.0007185708858692963
20.0,1,rf_balanced,log_dist_river,0.775478020894934,0.3485134964954818,-0.009735637470705494,0.0038004727233842406
20.0,1,rf_balanced,log_precip_bio12,0.775478020894934,0.3485134964954818,0.025866789320367123,0.08698626007442056
20.0,2,rf_balanced,elev_m,0.7213001383125863,0.3578136221829422,0.17455048409405238,0.12266126113643605
20.0,2,rf_balanced,slope_deg,0.7213001383125863,0.3578136221829422,-0.003414591977870196,0.007475629710284981
20.0,2,rf_balanced,aspect_sin,0.7213001383125863,0.3578136221829422,0.02795643153526961,0.022862867694590894
20.0,2,rf_balanced,aspect_cos,0.7213001383125863,0.3578136221829422,0.013813969571230822,0.016924283937341467
20.0,2,rf_balanced,twi,0.7213001383125863,0.3578136221829422,0.002593360995850613,-0.00010351608260733558
20.0,2,rf_balanced,log_spi,0.7213001383125863,0.3578136221829422,0.0056708160442597855,-0.0019047693763065698
20.0,2,rf_balanced,log_sca,0.7213001383125863,0.3578136221829422,-0.004979253112033399,-0.019144187766357068
20.0,2,rf_balanced,log_dist_river,0.7213001383125863,0.3578136221829422,0.00886065006915615,0.00388496795769
20.0,2,rf_balanced,log_precip_bio12,0.7213001383125863,0.3578136221829422,0.03683437067773154,0.040442541619343464
20.0,3,rf_balanced,elev_m,0.7250593183779119,0.375840735749845,0.14862848720161037,0.1212956473540493
20.0,3,rf_balanced,slope_deg,0.7250593183779119,0.375840735749845,0.01114466494104105,0.026244542371622603
20.0,3,rf_balanced,aspect_sin,0.7250593183779119,0.375840735749845,0.0051768766177739955,0.0022679750093511086
20.0,3,rf_balanced,aspect_cos,0.7250593183779119,0.375840735749845,-0.0009437014667816879,-0.0014626640725392548
20.0,3,rf_balanced,twi,0.7250593183779119,0.375840735749845,-0.004628631003738892,0.010891837866181309
20.0,3,rf_balanced,log_spi,0.7250593183779119,0.375840735749845,0.006102602818521596,0.029217434222777672
20.0,3,rf_balanced,log_sca,0.7250593183779119,0.375840735749845,0.003010857060684491,0.007028204024549289
20.0,3,rf_balanced,log_dist_river,0.7250593183779119,0.375840735749845,-0.01601596203623812,-0.013603842181786507
20.0,3,rf_balanced,log_precip_bio12,0.7250593183779119,0.375840735749845,0.06072943629565708,0.0902682179942389
20.0,4,rf_balanced,elev_m,0.6729494538048508,0.32758031890229405,0.1462969820403628,0.07232400887067464
20.0,4,rf_balanced,slope_deg,0.6729494538048508,0.32758031890229405,-0.009646361784854895,0.009756424882945924
20.0,4,rf_balanced,aspect_sin,0.6729494538048508,0.32758031890229405,0.009970375856322877,0.03750619516397535
20.0,4,rf_balanced,aspect_cos,0.6729494538048508,0.32758031890229405,-0.008461396037770852,-0.03350702914348669
20.0,4,rf_balanced,twi,0.6729494538048508,0.32758031890229405,-0.0095537863358639,0.016429973316395896
20.0,4,rf_balanced,log_spi,0.6729494538048508,0.32758031890229405,-0.008322532864284526,-0.00277879247978019
20.0,4,rf_balanced,log_sca,0.6729494538048508,0.32758031890229405,0.00015737826328432458,0.004171719323478151
20.0,4,rf_balanced,log_dist_river,0.6729494538048508,0.32758031890229405,0.004036289576004326,0.007034055831443786
20.0,4,rf_balanced,log_precip_bio12,0.6729494538048508,0.32758031890229405,0.06546009998148483,0.062907194986274
20.0,5,rf_balanced,elev_m,0.6832645716292136,0.26435057628720954,0.1493262816011237,0.0616680283667472
20.0,5,rf_balanced,slope_deg,0.6832645716292136,0.26435057628720954,-0.02113325140449429,-0.04374208713423
20.0,5,rf_balanced,aspect_sin,0.6832645716292136,0.26435057628720954,0.006594540028090012,0.02213321122568901
20.0,5,rf_balanced,aspect_cos,0.6832645716292136,0.26435057628720954,0.02263649929775302,0.009757998963876136
20.0,5,rf_balanced,twi,0.6832645716292136,0.26435057628720954,-0.00160200140449418,0.009253268116209024
20.0,5,rf_balanced,log_spi,0.6832645716292136,0.26435057628720954,0.0033685919943821085,-0.0018235593647088488
20.0,5,rf_balanced,log_sca,0.6832645716292136,0.26435057628720954,-0.0011082338483144882,0.0030729676213959167
20.0,5,rf_balanced,log_dist_river,0.6832645716292136,0.26435057628720954,-0.003006495786516683,-0.0008795198086133382
20.0,5,rf_balanced,log_precip_bio12,0.6832645716292136,0.26435057628720954,0.038250526685393416,0.05593630296188731
