dataset,model,grid_km,folds,features_signature,rows,pos_ratio,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,best_t_mean,brier_mean,run_id,timestamp,input_path
terrain_hydro,RF_balanced,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6836366791679456,0.0290919898846935,0.2887266861720045,0.0527675456920128,0.3888201570388421,0.0327721228893129,0.148,0.1387096361075101,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
terrain_hydro_river_precip_log,LR_balanced_scaled,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river|log_precip_bio12,3008,0.1735372340425532,0.6750584970980238,0.0582860852916962,0.287548661951424,0.071398716688295,0.381997487402368,0.0777816377229701,0.492,0.2259737881319562,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river_precip_clean.parquet
terrain_hydro_river,RF_default,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6912290020136134,0.0353730893085964,0.2874294606221734,0.0604228133197681,0.3837177374137565,0.0609731082435136,0.172,0.136213411133437,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_hydro_river,RF_balanced,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6845117277677648,0.0309310460392845,0.2854801246265015,0.046031135176686,0.387858772942845,0.0362573854774788,0.1399999999999999,0.1371405434556218,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_only,RF_default,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.6886237414885906,0.016005971408111,0.2828511096221332,0.0286218025609983,0.3862242828564174,0.0307698405481415,0.13,0.1419976326981246,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_only,RF_default,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.6873823834035352,0.039315663876386,0.2809380455210125,0.0637158185594087,0.3866445426246562,0.0629935608737417,0.136,0.1419100492286751,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_only,RF_balanced,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.6860137157866784,0.0195039848967691,0.2801958481636254,0.0281510542947245,0.3856413451734705,0.0262812759663303,0.106,0.1420049612717137,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_only,RF_balanced,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.687563291874908,0.0445020263459639,0.2794748766132544,0.0756332245896728,0.3890820696394154,0.0713091488033439,0.082,0.1415292147437559,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_hydro_river,RF_default,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6858976065382285,0.0332863862709155,0.2767352423227788,0.0438635991999233,0.3924437879816011,0.0436667819803648,0.166,0.1373509319937775,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_hydro,RF_default,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6802275253816397,0.0319395718622222,0.2752723951426702,0.0528953063195639,0.3871897952301874,0.0316277454046145,0.138,0.1394279899079595,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
