fold,grid_km,roc_auc,pr_auc,best_f1,best_t
1,20.0,0.4316534156865322,0.11977431108569991,0.27759197324414714,0.29000000000000004
2,20.0,0.473789764868603,0.17511281227643236,0.35435435435435436,0.19
3,20.0,0.5739322691975841,0.20110796620686,0.38783269961977185,0.33
4,20.0,0.5571005369376041,0.1897268751685618,0.34305317324185247,0.27
5,20.0,0.5240080758426966,0.14670879880150142,0.28286189683860236,0.22
