fold,grid_km,roc_auc,pr_auc,best_f1,best_t
1,20.0,0.606226865540881,0.21464254206805,0.3067484662576687,0.28
2,20.0,0.5474066390041494,0.2462512655076621,0.3448275862068966,0.44
3,20.0,0.6844172418751797,0.3212336075177826,0.4192872117400419,0.5
4,20.0,0.5999629698204036,0.25309571123562496,0.35986159169550175,0.75
5,20.0,0.638990080758427,0.23587237747445555,0.31718061674008813,0.52
