fold,grid_km,roc_auc,pr_auc,best_f1,best_t
1,20.0,0.621164334056114,0.1876907323532716,0.3268698060941828,0.48000000000000004
2,20.0,0.5693637621023513,0.25899574835909517,0.35489833641404805,0.38
3,20.0,0.721554141501294,0.32324840435893837,0.46537396121883656,0.49
4,20.0,0.6298000370301796,0.25007088682868883,0.36585365853658536,0.45
5,20.0,0.6064562851123596,0.18529433618044183,0.3021978021978022,0.48000000000000004
